ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-6684598,Source1,2,2020-11-25 03:24:47,2020-11-25 05:07:26,34.988226,-81.981269,34.988569,-81.981189,0.024,Incident on VALLEY FALLS RD near ASHEVILLE HWY Drive with caution., Valley Falls Rd,Spartanburg,Spartanburg,SC,29303-1733,US,US/Eastern,KSPA,2020-11-25 03:15:00,45.0,45.0,71.0,29.44,10.0,CALM,0.0,0.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3651277,Source1,2,2023-02-26 15:05:35.000000000,2023-02-26 16:32:30.000000000,40.599518,-74.31873399999998,40.557491,-74.32002,2.905,Stationary traffic on Garden State Pkwy S from Central Ave/Brant Ave/Exit 135 (Garden State Pkwy) to US-1/Exit 130 (Garden State Pkwy) due to accident.,Inman Ave,Colonia,Middlesex,NJ,07067,US,US/Eastern,KLDJ,2023-02-26 14:55:00,49.0,43.0,50.0,29.75,10.0,W,16.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-225362,Source2,2,2016-09-28 08:55:30,2016-09-28 09:25:19,39.75452,-84.159279,,,0.0,Accident on US-35 at Steve Whalen Blvd.,US-35 E,Dayton,Montgomery,OH,45410,US,US/Eastern,KFFO,2016-09-28 08:58:00,55.6,,99.0,29.88,2.5,South,4.6,0.04,Thunderstorms and Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5842235,Source1,2,2021-10-19 17:11:30,2021-10-19 19:12:50,32.911871999999995,-117.152207,32.913661,-117.143807,0.503,Slow traffic from Parkdale Ave to New Salem St due to accident., Mira Mesa Blvd,San Diego,San Diego,CA,92126,US,US/Pacific,KNKX,2021-10-19 16:55:00,62.0,62.0,58.0,29.48,10.0,W,9.0,0.0,Fair,False,False,True,False,False,False,False,False,True,True,False,False,False,Day,Day,Day,Day
A-5241306,Source1,2,2022-07-23 04:26:32,2022-07-23 05:46:59,33.85568,-80.258637,33.856506,-80.247853,0.621,Incident on BRITTON RD near EXCITEMENT LN Expect delays., Britton Rd,Sumter,Sumter,SC,29153-9601,US,US/Eastern,KSMS,2022-07-23 04:35:00,75.0,75.0,94.0,29.89,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6927836,Source1,2,2020-11-11 23:02:00,2020-11-12 00:37:15,30.191727,-81.705247,30.191587,-81.71046700000002,0.312,Incident on I-295 NB near ROOSEVELT BLVD Drive with caution.,W Beltway N,Jacksonville,Duval,FL,32244,US,US/Eastern,KNIP,2020-11-11 22:53:00,76.0,76.0,91.0,29.83,10.0,SE,21.0,0.0,Mostly Cloudy / Windy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6189953,Source1,2,2021-04-07 06:28:30.000000000,2021-04-07 13:24:29.000000000,28.084478000000004,-82.739224,28.094427000000003,-82.739489,0.688,Stationary traffic on US-19 N from Highlands Blvd (US-19) to Klosterman Rd (US-19) due to accident., US Highway 19 N,Palm Harbor,Pinellas,FL,34684,US,US/Eastern,KPIE,2021-04-07 06:53:00,61.0,61.0,90.0,30.08,10.0,ESE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-2688598,Source2,3,2018-07-05 15:17:30,2018-07-05 15:47:07,29.72868,-95.46022,,,0.0,Lane blocked due to accident on I-69 Southbound at I-610.,US-59 S,Houston,Harris,TX,77027,US,US/Central,KMCJ,2018-07-05 15:15:00,82.4,,74.0,30.15,10.0,SSE,10.4,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-395739,Source2,2,2017-03-02 20:46:15,2017-03-02 21:31:01,47.688732,-122.337753,,,0.0,Accident on Densmore Ave near 82nd St.,N 82nd St,Seattle,King,WA,98103-4430,US,US/Pacific,KBFI,2017-03-02 20:53:00,44.1,37.7,96.0,30.19,10.0,South,12.7,0.01,Light Rain,False,False,True,False,False,False,False,False,False,True,False,False,False,Night,Night,Night,Night
A-2981261,Source3,2,2018-01-31 16:40:39,2018-01-31 17:40:19,34.82135,-82.415894,,,0.0,Restrictions due to accident on Henrydale Ave at US-29 Mills Ave.,Mills Ave,Greenville,Greenville,SC,29605-4249,US,US/Eastern,KGYH,2018-01-31 16:47:00,50.0,,28.0,30.18,10.0,South,13.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-502587,Source2,3,2017-07-20 06:40:28,2017-07-20 07:09:35,42.57125900000001,-82.858597,,,0.0,Two lanes blocked due to accident on I-94 Eastbound at Exit 236 Metro Pkwy.,I-94 W,Harrison Township,Macomb,MI,48045,US,US/Eastern,KMTC,2017-07-20 06:58:00,73.8,,100.0,29.96,10.0,South,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2896400,Source2,2,2018-04-19 18:01:48,2018-04-19 19:05:00,30.417715,-91.070686,,,0.0,Accident on US-61 Airline Hwy near Professional Blvd.,Airline Hwy,Baton Rouge,East Baton Rouge,LA,70816-4004,US,US/Central,KBTR,2018-04-19 17:53:00,70.0,,36.0,30.17,10.0,North,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5791861,Source1,2,2021-05-23 20:50:00,2021-05-23 22:35:00,42.14741400000001,-123.607622,42.147417,-123.602721,0.251,Incident on OR-46 EB near MP 2 Drive with caution., White School House Rd,Cave Junction,Josephine,OR,97523-1376,US,US/Pacific,KBOK,2021-05-23 20:56:00,51.0,51.0,92.0,29.7,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-1591616,Source2,2,2020-01-14 11:21:26,2020-01-14 14:54:06,30.203266,-97.639313,,,0.0,Accident on TX-71 Serv Rd Westbound at FM-973.,Highway 71 E,Del Valle,Travis,TX,78617,US,US/Central,KAUS,2020-01-14 11:17:00,65.0,65.0,97.0,29.55,1.0,CALM,0.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,True,True,False,Day,Day,Day,Day
A-3052091,Source2,2,2018-01-08 10:50:17,2018-01-08 11:50:03,33.828159,-81.202568,,,0.0,Accident on SC-6 at Peachtree Rock Rd.,Peachtree Rock Rd,Lexington,Lexington,SC,29073-7576,US,US/Eastern,KCAE,2018-01-08 10:56:00,39.0,34.8,46.0,30.36,10.0,ESE,5.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5679615,Source1,2,2021-09-20 00:13:00,2021-09-20 05:00:00,35.253270864318594,-82.21774220427409,35.248370864318595,-82.32396220427408,6.002999999999999,Near Saluda / Mile Marker 63 Heading East. The left lane is closed 4 miles East of Exit 59 (Holbert Cove Road).,US-74,Columbus,Polk,NC,28722,US,US/Eastern,KFQD,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5393031,Source1,2,2022-09-07 19:19:00.000000000,2022-09-08 02:02:25.000000000,30.368339,-97.613133,30.368579,-97.613057,0.017,Incident on HARRIS BRANCH PKY near E PARMER LN Drive with caution.,Harris Branch Pkwy,Austin,Travis,TX,78754,US,US/Central,KEDC,2022-09-07 19:15:00,73.0,73.0,88.0,29.27,,ESE,13.0,0.0,,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-1563123,Source2,2,2020-04-23 20:33:52,2020-04-23 21:23:01,38.919807,-76.932526,,,2.2799999713897705,Main roadway closed due to accident on MD-295 Southbound from MD-202 Landover Rd to US-50. Traffic getting by on the shoulder.,Baltimore Washington Pkwy N,Hyattsville,Prince George's,MD,20781,US,US/Eastern,KCGS,2020-04-23 20:43:00,52.0,52.0,94.0,29.81,5.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-4725056,Source1,2,2022-11-12 14:13:00.000000000,2022-11-12 15:33:43.000000000,33.853091,-117.374551,33.849632,-117.374397,0.239,Incident on MOCKINGBIRD CANYON RD near HOUSE 18350 Drive with caution., Mockingbird Canyon Rd,Riverside,Riverside,CA,92504-9690,US,US/Pacific,KRAL,2022-11-12 13:53:00,69.0,69.0,22.0,29.12,10.0,VAR,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4244072,Source1,4,2022-12-08 15:52:00.000000000,2022-12-08 19:23:27.000000000,40.60937,-77.713306,40.619027,-77.695548,1.146,Multi vehicle crash on PA 655 both directions between MAPLE GROVE RD and N DRYHOUSE RD S DRYHOUSE RD. All lanes closed., Maple Grove Rd,Belleville,Mifflin,PA,17004-8737,US,US/Eastern,KUNV,2022-12-08 15:53:00,45.0,42.0,61.0,28.9,10.0,N,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4337760,Source1,2,2022-01-18 14:31:29,2022-01-18 16:00:58,35.775593519040214,-78.5547673698494,35.76911351904022,-78.52712736984941,1.6130000000000002,Incident on 490-560 I-87 NB near 490-560 I-87 Expect delays.,US-264,Raleigh,Wake,NC,27610,US,US/Eastern,KRDU,2022-01-18 14:51:00,48.0,44.0,34.0,29.7,10.0,W,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5224960,Source1,2,2022-02-05 09:41:30.000000000,2022-02-05 13:38:30.000000000,34.072182,-117.898908,34.066008000000004,-117.993862,5.4510000000000005,Slow traffic on I-10 W - San Bernardino Fwy W from Citrus St (I-10) to I-605 (I-10) due to accident., Hollenbeck Ave,West Covina,Los Angeles,CA,91791,US,US/Pacific,KPOC,2022-02-05 09:47:00,57.0,57.0,23.0,29.16,10.0,CALM,0.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3853788,Source1,2,2022-06-10 09:16:00,2022-06-10 09:43:30,40.155894,-76.809811,40.15803,-76.804917,0.298,Stationary traffic on PA-392 from Vista Cir to Red Mill Rd due to accident., Yocumtown Rd,Etters,York,PA,17319-9760,US,US/Eastern,KMDT,2022-06-10 08:56:00,67.0,67.0,57.0,29.56,10.0,WNW,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5135765,Source1,4,2022-07-15 10:00:28,2022-07-15 12:17:47,42.338445,-83.12246800000001,42.336436,-83.127522,0.293,WB I-94 at Livernois,Edsel Ford Fwy W,Detroit,Wayne,MI,48210,US,US/Eastern,KDET,2022-07-15 09:53:00,77.0,77.0,50.0,29.51,10.0,SSE,9.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-432216,Source2,2,2017-04-20 07:53:28,2017-04-20 08:23:14,29.738117,-95.34201,,,0.01,Accident on Leeland St at Keating St.,Leeland St,Houston,Harris,TX,77023-3011,US,US/Central,KMCJ,2017-04-20 07:55:00,71.6,,94.0,30.02,4.0,SSE,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2815029,Source2,3,2018-05-10 08:43:27,2018-05-10 09:13:06,33.827091,-84.252602,,,0.0,Left lane blocked due to accident on I-285 Northbound before Exit 38 US-29 Lawrenceville Hwy.,GA-407 S,Tucker,DeKalb,GA,30084,US,US/Eastern,KPDK,2018-05-10 08:53:00,71.1,,66.0,30.08,10.0,SSW,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1108412,Source2,2,2021-03-24 08:23:00,2021-03-24 09:26:52,29.692835,-95.413101,,,0.0,Accident on Kirby Dr at US-90-ALT Old Spanish Trl.,Old Spanish Trl,Houston,Harris,TX,77054,US,US/Central,KMCJ,2021-03-24 08:28:00,67.0,67.0,90.0,29.71,6.0,E,13.0,0.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-5107630,Source1,2,2022-12-15 18:10:00.000000000,2022-12-15 19:26:55.000000000,34.003988,-117.062232,34.004028000000005,-117.059475,0.158,Incident on W COUNTY LINE RD near CALIMESA BLVD Expect delays., Calimesa Blvd,Calimesa,Riverside,CA,92320-1121,US,US/Pacific,KBUO,2022-12-15 17:55:00,55.0,55.0,43.0,28.46,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-4026749,Source1,2,2022-12-12 17:57:38,2022-12-12 19:12:39,38.806363,-76.987039,38.807073,-76.979883,0.388,Incident on I-495 NB near BELTWAY COLLEGE PARK Drive with caution.,Capital Beltway N,Oxon Hill,Prince George's,MD,20745,US,US/Eastern,KDCA,2022-12-12 17:52:00,42.0,35.0,58.0,30.25,10.0,NW,13.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-4873259,Source1,2,2022-01-30 13:30:00.000000000,2022-01-30 16:12:23.000000000,33.953661,-117.926521,33.953886,-117.92484,0.098,Incident on FULLERTON RD near HOUSE 1620 Drive with caution., Fullerton Rd,La Habra,Los Angeles,CA,90631-8414,US,US/Pacific,KFUL,2022-01-30 13:53:00,68.0,68.0,39.0,29.99,10.0,SSW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2127114,Source2,2,2019-05-28 10:20:02,2019-05-28 11:19:55,41.96442,-88.09925799999998,,,0.0,Accident on US-20 Lake St at Springfield Dr.,Lake St,Roselle,DuPage,IL,60172-3548,US,US/Central,KORD,2019-05-28 09:51:00,66.0,66.0,75.0,29.04,10.0,NW,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-5651031,Source1,2,2021-09-22 18:42:00,2021-09-23 19:30:39,32.62629389747321,-109.68997836060672,32.60384389747321,-109.68630836060672,1.5659999999999998,Construction on S US-191 SB near COCHISE GRAHAM COUNTY LINE Road closed. Take alternate route., S US Highway 191,Safford,Graham,AZ,85546,US,US/Mountain,KSAD,2021-09-22 18:51:00,86.0,86.0,22.0,26.8,10.0,S,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-4794237,Source1,2,2022-03-05 10:19:00,2022-03-05 12:22:29,33.930973,-118.290221,33.929686,-118.291929,0.132,Slow traffic on CA-90 from Menlo Ave to I-105 W due to accident., W Imperial Hwy,Los Angeles,Los Angeles,CA,90044-4110,US,US/Pacific,KHHR,2022-03-05 09:53:00,57.0,57.0,51.0,30.01,10.0,W,21.0,0.0,Fair / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6563704,Source1,2,2021-02-06 17:41:00,2021-02-06 19:06:21,30.320840000000004,-81.704471,30.320565,-81.691151,0.795,Incident on I-10 EB near MCDUFF AVE Left lane blocked.,FL-8 E,Jacksonville,Duval,FL,32205,US,US/Eastern,KNIP,2021-02-06 17:53:00,55.0,55.0,100.0,29.89,4.0,SE,9.0,0.09,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1286949,Source2,2,2020-11-01 15:01:12,2020-11-01 15:31:53,33.870724,-117.74485,,,0.0,#3 lane blocked due to accident on CA-91 Westbound at Exit 39 Weir Canyon Rd.,S Weir Canyon Rd,Anaheim,Orange,CA,92807,US,US/Pacific,KFUL,2020-11-01 14:53:00,89.0,89.0,19.0,29.92,10.0,VAR,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5391072,Source1,2,2022-04-03 05:19:00.000000000,2022-04-03 06:36:15.000000000,38.50022435169935,-121.434234380143,38.50028435169935,-121.433054380143,0.064,Incident on 65TH ST near HOUSE 6965 Expect delays., 65th St,Sacramento,Sacramento,CA,95823-2341,US,US/Pacific,KSAC,2022-04-03 04:53:00,50.0,50.0,54.0,29.9,10.0,NW,3.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-1669094,Source2,2,2020-02-26 07:50:33,2020-02-26 08:50:06,32.812939,-79.856667,,,0.0,Right lane blocked due to accident on US-17 Johnnie Dodds Blvd Eastbound at Bowman Rd.,N Highway 17,Mount Pleasant,Charleston,SC,29464,US,US/Eastern,KLRO,2020-02-26 07:55:00,63.0,63.0,100.0,29.88,1.0,SSE,3.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1138614,Source2,3,2021-02-26 16:30:31,2021-02-26 17:36:02,34.068878000000005,-117.839455,,,0.0,Two lanes blocked due to accident on I-10 Westbound at Exit 40 The Mall.,I-10 W,Covina,Los Angeles,CA,91724,US,US/Pacific,KPOC,2021-02-26 16:47:00,66.0,66.0,19.0,28.84,10.0,SW,10.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1913035,Source2,2,2019-09-15 13:47:45,2019-09-15 15:32:10,38.9548,-77.009041,,,0.0,Accident on North Capitol St Northbound at Riggs Rd.,N Capitol St,Washington,District of Columbia,DC,20011-2433,US,US/Eastern,KCGS,2019-09-15 13:22:00,82.0,82.0,36.0,30.1,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-5938499,Source1,2,2021-05-07 16:13:33,2021-05-07 16:25:26,33.442801236946856,-117.62815833035644,33.45663123694685,-117.65200833035644,1.6740000000000002,Slow traffic on I-5 N - San Diego Fwy N from Ave Pico (I-5) to Camino de Estrella (I-5) due to accident.,I-5 N,San Clemente,Orange,CA,92673,US,US/Pacific,KNXF,2021-05-07 15:55:00,69.0,69.0,57.0,29.86,10.0,WSW,8.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1612494,Source2,2,2020-01-26 10:41:15,2020-01-26 11:10:20,42.388538,-83.438652,,,0.239999994635582,Entry ramp to I-275 Southbound from M-14 Westbound shoulder blocked due to accident.,I 275 Metro Trl,Plymouth,Wayne,MI,48170,US,US/Eastern,KYIP,2020-01-26 10:53:00,36.0,27.0,89.0,29.07,4.0,SW,14.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2484831,Source2,2,2018-11-28 08:27:47,2018-11-28 09:24:00,37.46703,-77.428154,,,0.0,Accident on VA-161 Commerce Rd at VA-161 Bells Rd.,Bells Rd,Richmond,Richmond City,VA,23234,US,US/Eastern,KFCI,2018-11-28 08:56:00,33.1,22.6,50.0,29.91,10.0,WNW,16.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
